__CLASS__,contract_time,salary_is_predicted,company,id,created,redirect_url,title,category,location,salary_max,contract_type,salary_min,adref,description,longitude,latitude
Adzuna::API::Response::Job,,0,"{'display_name': 'Tailwind IT', '__CLASS__': 'Adzuna::API::Response::Company'}",5624308257,2026-02-11T14:59:53Z,https://www.adzuna.co.uk/jobs/land/ad/5624308257?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=71A7E3D0355590CD4FD44F557EC4F0B9DA284914,Data Analyst - Power BI,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}","{'display_name': 'Carmarthen, Carmarthenshire', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'Wales', 'Carmarthenshire', 'Carmarthen']}",40000.0,permanent,40000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYyNDMwODI1NyIsInMiOiI4SU9vcW9RSDhSR1QxdXljaklVWTNnIn0.DXYXOFmPNpGjH5-B2DQiayM7TZm5LaRBuqdrd3tmfvU,"My social housing client is looking to recruit an experienced Power BI Data Analyst for a permanent position based in their Head Office located in Carmarthen, West Wales. Reporting to the ICT Manager the key responsibilities for this role include the development of Power BI reports to facilitate business insights and support data driven decision making. Additionally, the role will support the development and administration of core performance measures, ensure KPI's are published, champion data …",-4.31054,51.8564
Adzuna::API::Response::Job,,1,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Holcim UK'}",5606234040,2026-01-30T16:55:48Z,https://www.adzuna.co.uk/jobs/land/ad/5606234040?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=997504D808938015880721CAB9758E14AA747599,Senior FP&A Data Analyst,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs'}","{'area': ['UK', 'East Midlands', 'Leicestershire', 'Coalville', 'Bardon Hill'], 'display_name': 'Bardon Hill, Coalville', '__CLASS__': 'Adzuna::API::Response::Location'}",42087.77,permanent,42087.77,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOElPb3FvUUg4UkdUMXV5Y2pJVVkzZyIsImkiOiI1NjA2MjM0MDQwIn0.bRsrt31J8Tx8Vvq_Ueasl50Brzc4zm46IPJaKjsnSxk,"About Holcim We are leaders in supplying innovative, sustainable building solutions to the UK construction industry; building progress for people and the planet. Since 1858, weve helped shape the UK; powering the construction of homes and hospitals, roads and railways, schools and cities alike. Our mission is to make sustainable construction a reality, through purposeful action that tackles real carbon and climate challenges. We are dedicated to helping Britain grow and thrive - by doing the ri…",-1.331382,52.707545
Adzuna::API::Response::Job,full_time,0,"{'display_name': 'PROSPECTUS-4', '__CLASS__': 'Adzuna::API::Response::Company'}",5622262064,2026-02-10T06:00:30Z,https://www.adzuna.co.uk/jobs/land/ad/5622262064?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=86779BD0EE2BB9FD87393F4556B3A3B9C36BC9DD,Data Analyst,"{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}","{'area': ['UK', 'London', 'Central London', 'Holborn'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Holborn, Central London'}",43784.0,permanent,43784.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYyMjI2MjA2NCIsInMiOiI4SU9vcW9RSDhSR1QxdXljaklVWTNnIn0.BRn99GjI9S-opCNpVbxUmSPhr0zwB4qgR2oIuHfT-FE,"Full Time - 35 Hours Per Week Temporary: Up to 3-months Salary: £21.05 p/h  holiday pay (£38,419 equivalent) Based: 3 -days per week onsite in East London, and the remainder remote Our client, a prestigious London University, is currently seeking a temporary, full time (35 hours per week) Data Analyst, running for 3-months in the first instance, based onsite 3-days per week in East London. Key Responsibilities include: Handle sensitive data in compliance with GDPR and data protection legislatio…",-0.122411,51.516414
Adzuna::API::Response::Job,,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Jonathan Lee Recruitment'}",5596407030,2026-01-22T23:22:32Z,https://www.adzuna.co.uk/jobs/land/ad/5596407030?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=0262A5E46BF29A2B8F9EBA5B41EF5A0E2AA6BC88,Data Analyst Software Systems Test,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs'}","{'area': ['UK', 'West Midlands', 'Warwickshire', 'Warwick'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Warwick, Warwickshire'}",72009.0,contract,72009.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU5NjQwNzAzMCIsInMiOiI4SU9vcW9RSDhSR1QxdXljaklVWTNnIn0.DhFTSSgUXr-Xk2fdjijYnrA05VXDOClbVkRUcw5Is9Q,"Data Analyst (Software Systems Test) - 36349383 - £34.62/hr umbrella rate (Inside IR35) Are you ready to take your analytical skills to the next level? This is your chance to join an innovative and forward-thinking company as a Data Analyst (Software Systems Test) . Dive into the exciting world of vehicle engineering, where your expertise will play a pivotal role in shaping the future of testing and development. With a focus on cutting-edge software and systems, this role offers an inspiring wo…",-1.58447,52.281898
Adzuna::API::Response::Job,full_time,1,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Thames Water'}",5624460438,2026-02-11T17:07:38Z,https://www.adzuna.co.uk/jobs/land/ad/5624460438?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=FFE502C412A6ADA7EFE44B8DC76A5AACB76F2CF5,Data Analyst Level 4 Apprentice,"{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}","{'area': ['UK', 'South East England', 'Berkshire', 'Slough'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Slough, Berkshire'}",25862.67,permanent,25862.67,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYyNDQ2MDQzOCIsInMiOiI4SU9vcW9RSDhSR1QxdXljaklVWTNnIn0.KY19dZso-kULreU-MBrUbQ65Undzyc0q1EVhAqyAETs,"Kick - start your Data Analysis career with Thames Water Join us as a Data Analyst Apprentice and support the UK’s largest water and wastewater provider. You’ll gain hands-on experience delivering accurate reporting, analysis, and insights that help drive decision-making across Customer Service, Financial Customer Care, Wholesale, and wider business teams contributing to services that millions rely on. What you’ll be doing as a Data Analyst Apprentice: Analysis - Provide operational data explor…",-0.595448,51.5093
Adzuna::API::Response::Job,,1,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Spectrum'}",5590118427,2026-01-18T03:46:16Z,https://www.adzuna.co.uk/jobs/land/ad/5590118427?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=837B500C1B1B349FA91C32A06F72D31C5303AA8D,Geophysical Data Analyst,"{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}","{'area': ['UK', 'South East England', 'Hampshire', 'Lymington'], 'display_name': 'Lymington, Hampshire', '__CLASS__': 'Adzuna::API::Response::Location'}",41044.06,,41044.06,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOElPb3FvUUg4UkdUMXV5Y2pJVVkzZyIsImkiOiI1NTkwMTE4NDI3In0.i-kRG9cfDNWLsbA3b0ahZI04cu5QnM4eJctW-Z61j0Y,"Business Description Spectrum Geosurvey specialise in coastal geophysical surveys, supporting a wide range of clients in the offshore renewables sector. We have a proven track record delivering the highest-quality hydrographic and geophysical survey data. Spectrum Geosurvey are seeking an enthusiastic and dedicated individual to join our growing team based in our Lymington office. Position Overview As a Geophysical Data Analyst, you will be responsible for the analysis of geophysical data, maki…",-1.54895,50.757801
Adzuna::API::Response::Job,,1,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Formula Recruitment'}",5583623903,2026-01-14T05:14:06Z,https://www.adzuna.co.uk/jobs/land/ad/5583623903?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=9EF758F76D4809A468FCAAB525C2EE27E6B752B0,Senior Data Analyst,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}","{'area': ['UK', 'London', 'Central London', 'The City'], 'display_name': 'The City, Central London', '__CLASS__': 'Adzuna::API::Response::Location'}",59090.53,,59090.53,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU4MzYyMzkwMyIsInMiOiI4SU9vcW9RSDhSR1QxdXljaklVWTNnIn0.jkwLIDuZ8Hsl5f-wVlY6oRwCwVomNiJqM9FELydUHrM,"Senior Data Analyst Location: London Hybrid - 3 days a week onsite Salary: £75,000-£85,000  bonus  benefits Do you want to join a fast-growing tech-for-good company that’s redefining how data, automation, and smart integrations power the digital world. Their intelligent platform transforms real-time operations and helps users make smarter, faster decisions that improve lives and infrastructure globally. We’re looking for a Senior Data Analyst who’s passionate about turning complex data into cle…",,
Adzuna::API::Response::Job,,1,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Advocate Group'}",5590118915,2026-01-18T03:47:07Z,https://www.adzuna.co.uk/jobs/land/ad/5590118915?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=2C3BE6A8DD1C9E1E51FC456C0BE289E675FE00AC,QC Data Analyst,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}","{'display_name': 'London, UK', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'London']}",33266.43,,33266.43,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU5MDExODkxNSIsInMiOiI4SU9vcW9RSDhSR1QxdXljaklVWTNnIn0.snpRwJNCwhNKNlnJZgoNhhlyf2FmJH-PkMDFw1iyiMc,"Want to re-energise your career with Monster Energy, the powerhouse behind your favourite energy drinks and events? Are you bold, relentless, and ready to take your professional journey to the top? This is your chance to elevate your career with one of the most iconic, highest-performing energy drink and lifestyle brands in the industry!  Here’s what you need to know - QC Data Analyst Key Responsibilities: · Manage and input daily laboratory analysis data, ensuring all out-of-specification resu…",-0.139134,51.503378
Adzuna::API::Response::Job,,1,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'FBI &TMT'}",5616370198,2026-02-05T23:36:45Z,https://www.adzuna.co.uk/jobs/land/ad/5616370198?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=2E2EB78087F2116D973C99ABACE29C1FC9A05FAD,Data Business Analyst,"{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}","{'area': ['UK', 'South East England', 'Hampshire', 'Fareham'], 'display_name': 'Fareham, Hampshire', '__CLASS__': 'Adzuna::API::Response::Location'}",67040.2,contract,67040.2,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOElPb3FvUUg4UkdUMXV5Y2pJVVkzZyIsImkiOiI1NjE2MzcwMTk4In0.PPf9ng3wBuwuhMuxMxLTvg4JwFW4Rnv5bJ9AY-OeU_o,"Main Purpose of the Role As a Data Business Analyst, you will work closely with our Data Product Managers to help define and prioritise the Product Backlog. You will be involved in the planning and assignment of tasks while aligning to the timely delivery of agreed quality standards. You will be responsible for building project requirements, creating development-ready user stories supported by appropriate data analysis, and working closely with the wider delivery team to ensure effective implem…",-1.17902,50.851501
Adzuna::API::Response::Job,full_time,1,"{'display_name': 'LexisNexis', '__CLASS__': 'Adzuna::API::Response::Company'}",5591219944,2026-01-19T12:38:20Z,https://www.adzuna.co.uk/jobs/land/ad/5591219944?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=00F3C8FA5F9F7A5FDEE5555A2CA20F384F153A7E,Senior Data Analyst,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'London, UK', 'area': ['UK', 'London']}",48437.41,,48437.41,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU5MTIxOTk0NCIsInMiOiI4SU9vcW9RSDhSR1QxdXljaklVWTNnIn0.nOkjpw8jj8n-sUxpCiHzvF720v0ZnbLwtEBgTcu7oUw,"Do you enjoy Delivering meaningful insights? Are you a problem solver and like to learn new things? About the Business: At Cirium, our goal is to keep the world connected. We are the industry leader in aviation analytics; helping our customers understand the past, present, and predicting what will happen tomorrow. Our mission is to transform the aviation industry by enabling airlines, airports, travel companies, tech giants, aircraft manufacturers, financial institutions and many more accelerat…",-0.139134,51.503378
Adzuna::API::Response::Job,full_time,1,"{'display_name': 'FDM Group', '__CLASS__': 'Adzuna::API::Response::Company'}",5551854448,2025-12-22T15:55:55Z,https://www.adzuna.co.uk/jobs/land/ad/5551854448?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=544FE9AB127BC4CC717A38104496DDC51824D199,Business Data Analyst,"{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}","{'display_name': 'Edinburgh, Scotland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'Scotland', 'Edinburgh']}",47981.93,contract,47981.93,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU1MTg1NDQ0OCIsInMiOiI4SU9vcW9RSDhSR1QxdXljaklVWTNnIn0.jzXYSfJSCHD4d0VwHCKvr3xDE2421rOCuFKytSnLYj0,"About The Role FDM is a global business and technology consultancy seeking a Business Data Analyst to work for our client within the Financial Services sector. This is initially a 6-month contract with the potential to extend and will be a hybrid role based in Cheshire East, Glasgow or Edinburgh. Our client is seeking a Business Data Analyst to support a project which focuses on implementing new regulatory reporting requirements being introduced by the regulators. Responsibilities: Gather and d…",-3.327942,55.943116
Adzuna::API::Response::Job,full_time,1,"{'display_name': 'FDM Group', '__CLASS__': 'Adzuna::API::Response::Company'}",5550999848,2025-12-21T17:14:45Z,https://www.adzuna.co.uk/jobs/land/ad/5550999848?se=8IOoqoQH8RGT1uycjIUY3g&utm_medium=api&utm_source=aa88ce77&v=6B798642ED6D46A5F19A832F212480D23F320319,Senior Data Analyst,"{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}","{'area': ['UK', 'London'], 'display_name': 'London, UK', '__CLASS__': 'Adzuna::API::Response::Location'}",63907.88,contract,63907.88,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOElPb3FvUUg4UkdUMXV5Y2pJVVkzZyIsImkiOiI1NTUwOTk5ODQ4In0.lDkXRrx6HkED-k4Dp1Ln8EpTauZ6YPbUi7WXjV8D8po,"About The Role We are seeking a Senior Data Analyst to join our clients Data & Analytics team. This role is ideal for someone with a strong technical foundation, a passion for solving complex problems, and a deep understanding of financial and client behavioural data. You will be responsible for delivering high-impact data analysis, automating reporting processes, and implementing scalable solutions that support strategic decision-making across financial advisory services that support their UK …",-0.139134,51.503378
