title,contract_type,created,__CLASS__,salary_is_predicted,location,longitude,latitude,category,redirect_url,description,salary_min,id,adref,company,contract_time,salary_max
Branch Manager,,2026-01-21T17:55:28Z,Adzuna::API::Response::Job,0,"{'display_name': 'London, UK', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'London']}",,,"{'label': 'Healthcare & Nursing Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'healthcare-nursing-jobs'}",https://www.adzuna.co.uk/jobs/land/ad/5594116991?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=58309322E4BA286D383A0EEAA9E5250B35CD7A35,"Company Description Branch Manager Southwark, SE16 7DW £44,339 - £48,773 DOE What we offer We’re creating brighter days. Fresh challenges. Exciting opportunities. Plenty of ups, downs and curveballs. With a career as a Branch Manager at Advantage Healthcare every day will be different to the next. Each will offer you the opportunity to do meaningful and rewarding work that makes a real difference to our clients lives and your career. Job Description What you’ll do The role of the Branch Manager…",44339.0,5594116991,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU5NDExNjk5MSIsInMiOiIxQVVTcm9RSDhSR0VpOEJ6Q05zSjhnIn0.A_e1tRfRK4QxW7F4i7TjNDi57hNlMIXYfagmS7yopiA,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'London Care Limited'}",full_time,48773.0
Branch Manager,,2026-01-21T17:55:28Z,Adzuna::API::Response::Job,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'London'], 'display_name': 'London, UK'}",,,"{'label': 'Healthcare & Nursing Jobs', 'tag': 'healthcare-nursing-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",https://www.adzuna.co.uk/jobs/land/ad/5594116990?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=1D07B4B2F9D1DBD492B271CA839B49B0AD852625,"Company Description Branch Manager Hammersmith and Fulham - W13 9HH £40,000 - £48,000 DOE What we offer We’re creating brighter days. Fresh challenges. Exciting opportunities. Plenty of ups, downs and curveballs. With a career as a Branch Manager at Advantage Healthcare every day will be different to the next. Each will offer you the opportunity to do meaningful and rewarding work that makes a real difference to our clients lives and your career. Job Description What you’ll do The role of the B…",40000.0,5594116990,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU5NDExNjk5MCIsInMiOiIxQVVTcm9RSDhSR0VpOEJ6Q05zSjhnIn0.02L3TJjypTB2invYHqNCPP0aoFskLW-eKTRkTA-1Jms,"{'display_name': 'Sage Care Limited', '__CLASS__': 'Adzuna::API::Response::Company'}",full_time,48000.0
Branch Manager,,2026-02-04T12:07:18Z,Adzuna::API::Response::Job,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'London'], 'display_name': 'London, UK'}",,,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'healthcare-nursing-jobs', 'label': 'Healthcare & Nursing Jobs'}",https://www.adzuna.co.uk/jobs/land/ad/5613506895?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=F39C4184263B1C185EE9BEDE50E14292717D81B5,"Company Description Branch Manager Southwark, SE16 7DW £43,339 - £48,773 per annum What we offer We’re creating brighter days. Fresh challenges. Exciting opportunities. Plenty of ups, downs and curveballs. With a career as a Branch Manager every day will be different to the next. Each will offer you the opportunity to do meaningful and rewarding work that makes a real difference to our clients lives and your career. Job Description What you’ll do The role of the Branch Manager is to manage the …",44339.0,5613506895,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUFVU3JvUUg4UkdFaThCekNOc0o4ZyIsImkiOiI1NjEzNTA2ODk1In0.m3duYL8cJnQD8bWBLvaKVu1oEfmR1BG6mSxiR23KUAc,"{'display_name': 'Sage Care Limited', '__CLASS__': 'Adzuna::API::Response::Company'}",full_time,48773.0
Business Manager,,2026-02-01T07:21:24Z,Adzuna::API::Response::Job,1,"{'display_name': 'Snailwell, Newmarket', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'Eastern England', 'Suffolk', 'Newmarket', 'Snailwell']}",0.407634,52.265279,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'sales-jobs', 'label': 'Sales Jobs'}",https://www.adzuna.co.uk/jobs/land/ad/5608388678?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=6B3016BEB5B56837BF71C5799204AC61F9F0D383,"Position: Business Manager Job Description: Arrow's Enterprise Computing Solutions (ECS) business is a global technology enablement company that brings innovative IT solutions to the market to solve complex business challenges. We deliver value-added distribution, business consulting, and channel enablement services to the world's leading technology manufacturers and their channel partners that serve commercial and government markets. Find more information about us on our page: arrow.com/global…",55080.21,5608388678,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUFVU3JvUUg4UkdFaThCekNOc0o4ZyIsImkiOiI1NjA4Mzg4Njc4In0.QoTSEJolwErtxcZ8vDHGc7CTsIy3HrNDRZCHjcvGpbk,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Arrow Electronics, Inc.'}",full_time,55080.21
Procurement Manager,permanent,2026-02-01T07:21:23Z,Adzuna::API::Response::Job,0,"{'display_name': 'Over Hulton, Bolton', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'North West England', 'Greater Manchester', 'Bolton', 'Over Hulton']}",-2.439571,53.577422,"{'label': 'Retail Jobs', 'tag': 'retail-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",https://www.adzuna.co.uk/jobs/land/ad/5608388565?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=723EA840EDA6113FD97EA69005A85CED3902093B,"At OFG, we work smarter so you can spend more time doing what makes you happy! Procurement Manager Bolton | Hybrid- working 2 days in the office Permanent | 37.5 hours per week (Mon–Fri) Salary: Up to £55,000 per annum (dependent on experience and qualifications) We’re reimagining work/life balance – and you could be part of it. In 2025, Outcomes First Group were officially certified as a ‘Great Place to Work’ for the sixth year running. We’re proud to be part of the 4-Day Working Week trial , …",0.0,5608388565,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUFVU3JvUUg4UkdFaThCekNOc0o4ZyIsImkiOiI1NjA4Mzg4NTY1In0.jWqmPXPsG3UMpi2mj7vqKINT6GMG_USQFHcJ4XIpa3o,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Outcomes First Group'}",,55000.0
Commercial Manager,,2025-11-19T14:55:17Z,Adzuna::API::Response::Job,1,"{'area': ['UK', 'North West England', 'Lancashire', 'Morecambe', 'Heysham'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Heysham, Morecambe'}",-2.926601,54.085712,"{'label': 'Engineering Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'engineering-jobs'}",https://www.adzuna.co.uk/jobs/land/ad/5503188177?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=61DB1A62BF1DE1C249F02557EDF19E350CEB8B8A,"Job Title: Commercial Manager Location: Barrow-in-Furness (3 days per week onsite). We offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this particular role. Salary: £55,000 depending on skills and experience What you’ll be doing: Support to all contract activity including the drafting and negotiation of complex terms and conditions and associated agreements with customers ensuring the interests of BAE Systems Responsible for all c…",55242.14,5503188177,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUwMzE4ODE3NyIsInMiOiIxQVVTcm9RSDhSR0VpOEJ6Q05zSjhnIn0.Ru5lH966Hxw-xKLFaAe2MO9-zfmcPkGkFBF3bpKJ3dQ,"{'display_name': 'BAE Systems', '__CLASS__': 'Adzuna::API::Response::Company'}",,55242.14
Client Manager,,2026-02-03T14:08:44Z,Adzuna::API::Response::Job,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK'], 'display_name': 'UK'}",,,"{'tag': 'healthcare-nursing-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Healthcare & Nursing Jobs'}",https://www.adzuna.co.uk/jobs/land/ad/5611783029?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=54DB34378F4703CF4B2761D345C0CC429E0F1609,"Company Description Client Manager - Complex Care Durham Tees Valley Business Centre, Orde Wingate Way, Stockton On Tees, Cleveland, TS19 0GD Salary up to £29,201 Driving licence and own transport is required Hours: Monday – Friday 9am – 5pm with additional on call duties on a rota basis What we offer We’re creating brighter days. Fresh challenges. Exciting opportunities. Plenty of ups, downs and curveballs. With a career as a Client Manager at Advantage Healthcare every day will be different t…",29201.0,5611783029,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYxMTc4MzAyOSIsInMiOiIxQVVTcm9RSDhSR0VpOEJ6Q05zSjhnIn0.3N0zlzK_gdiCSAa9jq7aQabTKQwRWgG-WTec2FYPJiU,"{'display_name': 'Advantage Healthcare Limited', '__CLASS__': 'Adzuna::API::Response::Company'}",full_time,29201.0
Store Manager,,2026-01-13T14:06:16Z,Adzuna::API::Response::Job,0,"{'display_name': 'Witham Town, Boston', 'area': ['UK', 'East Midlands', 'Lincolnshire', 'Boston', 'Witham Town'], '__CLASS__': 'Adzuna::API::Response::Location'}",-0.027239,52.978655,"{'label': 'Retail Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'retail-jobs'}",https://www.adzuna.co.uk/jobs/land/ad/5582272877?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=B770A0362ED67AD50AE2BE4E6823F1CE2E3FAAD2,"Join Our Team as a Retail Store Manager! What’s In It for You? Below are some of the many benefits we provide here at EE Significant earning potential through commission, rewards, and incentives. 24/7 access to an online GP for you and your immediate family. Market-leading paid carer’s leave. Equalized family leave with 18 weeks full pay and 8 weeks half pay. Huge discounts on EE & BT products, saving you hundreds of pounds annually. Support for your career development. Season Ticket Travel Loa…",33837.0,5582272877,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU4MjI3Mjg3NyIsInMiOiIxQVVTcm9RSDhSR0VpOEJ6Q05zSjhnIn0.XY0mLG6ew_WgNUMvwNXwDYKH8LLnzsd554d1fyxNgOY,"{'display_name': 'EE Retail', '__CLASS__': 'Adzuna::API::Response::Company'}",part_time,33837.0
Store Manager,,2026-02-02T20:03:49Z,Adzuna::API::Response::Job,0,"{'display_name': 'Mansfield Woodhouse, Mansfield', 'area': ['UK', 'East Midlands', 'Nottinghamshire', 'Mansfield', 'Mansfield Woodhouse'], '__CLASS__': 'Adzuna::API::Response::Location'}",-1.19823,53.147439,"{'tag': 'retail-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Retail Jobs'}",https://www.adzuna.co.uk/jobs/land/ad/5610743284?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=A081B99F511D6F640D0E402169953B48E2B3001E,"Join Our Team as a Retail Store Manager! Salary: Competitive What’s In It for You? Below are some of the many benefits we provide here at EE Significant earning potential through commission, rewards, and incentives. 24/7 access to an online GP for you and your immediate family. Market-leading paid carer’s leave. Equalized family leave with 18 weeks full pay and 8 weeks half pay. Huge discounts on EE & BT products, saving you hundreds of pounds annually. Support for your career development. Seas…",33837.0,5610743284,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUFVU3JvUUg4UkdFaThCekNOc0o4ZyIsImkiOiI1NjEwNzQzMjg0In0.VIwyAkX555bDZj0YqbGPX9FfW5Q6bN4cbPxiUfn3NKw,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'EE Retail'}",part_time,33837.0
Audit Systems - Quality Management (ISQM essential) - Manager,,2026-01-08T17:35:15Z,Adzuna::API::Response::Job,1,"{'display_name': 'London, UK', 'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location'}",-0.139134,51.503378,"{'label': 'Accounting & Finance Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'accounting-finance-jobs'}",https://www.adzuna.co.uk/jobs/land/ad/5574025586?se=1AUSroQH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=4ABDA10AEBCEDDDA3DBB6A35CCC132CFCFC6A9F5,"At Forvis Mazars, we're always looking ahead, for our people, our clients and the wider world. Together, we grow , belong and impact . You'll be supported to learn, explore and develop from day one. We celebrate individuality, encourage bold thinking and believe success comes from working together. With us, you'll belong to your local team, gain global experience, and make a meaningful impact now and in the future. About The Team: Our Audit Quality Support Team plays a vital role in maintaining…",52788.73,5574025586,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU3NDAyNTU4NiIsInMiOiIxQVVTcm9RSDhSR0VpOEJ6Q05zSjhnIn0.SFp8Y60DmBgNDilr8V6xW4trMcnbvyz3SLw8Cow0LI4,"{'display_name': 'Forvis Mazars', '__CLASS__': 'Adzuna::API::Response::Company'}",full_time,52788.73
Senior Deputy Manager,permanent,2026-01-26T20:44:16Z,Adzuna::API::Response::Job,0,"{'display_name': 'Yate, Bristol', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'South West England', 'Bristol', 'Yate']}",-2.41826,51.540901,"{'tag': 'teaching-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Teaching Jobs'}",https://www.adzuna.co.uk/jobs/details/5601225785?utm_medium=api&utm_source=aa88ce77,"Join Partou, where children are the leaders! We are currently recruiting for a Senior Deputy Manager at Tippy Toes Day Nursery full time with a salary of £32,000 What to expect as a Senior Deputy Manager: To support the implementation of the EYFS including overseeing planning and record keeping Promote and facilitate partnership with parents, carers and families Support the development and maintenance of strong working relationships with relevant local authority departments, regulatory bodies a…",1000.0,5601225785,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYwMTIyNTc4NSIsInMiOiIxQVVTcm9RSDhSR0VpOEJ6Q05zSjhnIn0.p1uhB09HMDYk3n59gIlooayr8TYnbRQpI3k2qM3GE5k,"{'display_name': 'Partou', '__CLASS__': 'Adzuna::API::Response::Company'}",full_time,32000.0
